OBJECTID;Categorie;Adres ;Aanduiding ;Naam;Complex;Bouwjaar ;Architect ;Datum aanwijzing;Object nummer;Meer informatie;SHAPE.AREA;SHAPE.LEN;geo_shape;geo_point_2d
1111;Gemeentelijk monument;Van Dijckstraat 5;Woonhuis;;woningbouw Lakerlopen;1920;L.J.P. Kooken;4-1-1994;GM0260;https://beeldmateriaal.eindhoven.nl/monumenten/GM0260.pdf;57.366029999999995;32.945480187585595;"{""type"": ""Polygon"", ""coordinates"": [[[5.499308805077936, 51.44065728058563], [5.499356920149567, 51.44062387729591], [5.499234050092969, 51.44055497155579], [5.499186050243571, 51.44058844659354], [5.499308805077936, 51.44065728058563]]]}";51.4406061406,5.49927145912
1120;Gemeentelijk monument;Johannastraat 1;Arbeiderswoning;;Philipsdorp;1910-1916;L.J.P. Kooken, C. Smit;4-1-1994;GM0140;https://beeldmateriaal.eindhoven.nl/monumenten/GM0140.pdf;88.329883;47.2023634748082;"{""type"": ""Polygon"", ""coordinates"": [[[5.466388936730138, 51.44056828250993], [5.466394564182125, 51.44057043596154], [5.466495513532178, 51.44060937805279], [5.466533115769777, 51.440571069675336], [5.466539174061289, 51.440564575724714], [5.466501062910379, 51.44055005803112], [5.466522182288556, 51.440528282065195], [5.466496880407433, 51.44051863648701], [5.466543972722681, 51.44047059589677], [5.466501083231275, 51.44045417586261], [5.466388936730138, 51.44056828250993]]]}";51.440539433,5.46647516683
1122;Gemeentelijk monument;Johannastraat 24;Arbeiderswoning;;Philipsdorp;1910-1916;L.J.P. Kooken, C. Smit;4-1-1994;GM0143;https://beeldmateriaal.eindhoven.nl/monumenten/GM0143.pdf;70.5188365;41.2108968102119;"{""type"": ""Polygon"", ""coordinates"": [[[5.465477876763666, 51.44052397357951], [5.465479642216555, 51.440521851065455], [5.465577976031821, 51.440403502945415], [5.465507719849251, 51.44038070104607], [5.465474578308498, 51.44042058810229], [5.4654503650187, 51.4404500782412], [5.465475232156749, 51.44045798053474], [5.46543260302132, 51.44050928058469], [5.465477876763666, 51.44052397357951]]]}";51.4404474817,5.4655019766
1124;Gemeentelijk monument;Johannastraat 20;Arbeiderswoning;;Philipsdorp;1910-1916;L.J.P. Kooken, C. Smit;4-1-1994;GM0143;https://beeldmateriaal.eindhoven.nl/monumenten/GM0143.pdf;68.88261299999999;41.0099524787114;"{""type"": ""Polygon"", ""coordinates"": [[[5.465615238215263, 51.44056868062751], [5.465616874480213, 51.44056671100581], [5.465715437743687, 51.44044811992169], [5.465646706854131, 51.4404258114539], [5.465589121898271, 51.44049509898532], [5.465613989378439, 51.4405031720338], [5.465571288566098, 51.44055454409188], [5.465615238215263, 51.44056868062751]]]}";51.4404922617,5.4656401798
1133;Gemeentelijk monument;Frederiklaan 3;Arbeiderswoning;;Philipsdorp;1910-1916;L.J.P. Kooken, C. Smit;4-1-1994;GM0083;https://beeldmateriaal.eindhoven.nl/monumenten/GM0083.pdf;68.8636305;46.92503205262649;"{""type"": ""Polygon"", ""coordinates"": [[[5.466697199061087, 51.44049858991304], [5.466763889392056, 51.44052981592401], [5.466849969435891, 51.44057012516296], [5.466880428562905, 51.440584387310565], [5.46689757678125, 51.4405700925699], [5.46693362530445, 51.44054001874985], [5.466832315420838, 51.440492412205174], [5.466801207376884, 51.440518356814785], [5.466786107408844, 51.44051129305802], [5.466773813532768, 51.44052153956124], [5.466744059821364, 51.44050760948442], [5.466755865372785, 51.44049775881975], [5.466718943144941, 51.44048046288509], [5.466697199061087, 51.44049858991304]]]}";51.4405321383,5.46683304173
1141;Gemeentelijk monument;Hulstlaan 43;Arbeiderswoning;;Philipsdorp;1910-1916;L.J.P. Kooken, C. Smit;4-1-1994;GM0134;https://beeldmateriaal.eindhoven.nl/monumenten/GM0134.pdf;58.8296115;37.9484737919049;"{""type"": ""Polygon"", ""coordinates"": [[[5.464274947148449, 51.440641476551946], [5.464319872114511, 51.440577609240215], [5.464298604446536, 51.44057184361905], [5.464295798493688, 51.44057108144123], [5.464331612126429, 51.440520163848376], [5.464289421928855, 51.44050856945699], [5.464244884384763, 51.440571879203105], [5.46420872624428, 51.44062328238552], [5.464274947148449, 51.440641476551946]]]}";51.4405800332,5.46427383096
26;Rijksmonument;Aalsterweg 239;Dienstwoning;Kortonjo;;1907;G. Geenen;27-8-2001;RM0068;https://beeldmateriaal.eindhoven.nl/monumenten/RM0068.pdf;65.610379;35.548033158020495;"{""type"": ""Polygon"", ""coordinates"": [[[5.484777686733579, 51.41775657273221], [5.484750033456273, 51.417779337291776], [5.484728764546225, 51.417769233849235], [5.484667875514836, 51.41781933386665], [5.484754793226797, 51.41786062700566], [5.484798275130471, 51.41782485153125], [5.484816069687961, 51.41781021201396], [5.484794944640386, 51.41780017138367], [5.484822210457235, 51.4177777307312], [5.48480623716994, 51.41777013969461], [5.484777686733579, 51.41775657273221]]]}";51.4178080558,5.48475021944
31;Rijksmonument;Aalsterweg 203;Woonhuis;;;1927;H.C. van de Leur;27-8-2001;RM0065;https://beeldmateriaal.eindhoven.nl/monumenten/RM0065.pdf;130.174847;57.294614380155004;"{""type"": ""Polygon"", ""coordinates"": [[[5.484807569977477, 51.42053499615575], [5.484811623893874, 51.42054829601433], [5.484798472613528, 51.42054983511706], [5.484804944405971, 51.42057106995989], [5.484818181913097, 51.420569512806736], [5.484828191107228, 51.42060452434004], [5.484898748020588, 51.42059620454709], [5.484926919053869, 51.42059289104325], [5.484924327170958, 51.42058427306763], [5.484983641154662, 51.42057577389764], [5.484994352712551, 51.42060975112779], [5.485062940861618, 51.42060182839148], [5.485051896374866, 51.42056681774833], [5.485037121394231, 51.4205687537449], [5.485019470468512, 51.420510090424685], [5.484807569977477, 51.42053499615575]]]}";51.4205602435,5.48493231959
64;Rijksmonument;Genneperweg 143;Watermolen;Genneper molen;;vóór 1249, 1585, 1963;;15-8-1972;RM0006;https://beeldmateriaal.eindhoven.nl/monumenten/RM0006.pdf;191.6045305;68.8071023150176;"{""type"": ""Polygon"", ""coordinates"": [[[5.470512812936334, 51.42311795746205], [5.470437391361076, 51.42305616927285], [5.470388478316262, 51.423016096730976], [5.470356143022178, 51.423031526445826], [5.470293824760598, 51.422980479267835], [5.470198743671113, 51.423025841099566], [5.470194462936926, 51.42302788458386], [5.470192667323267, 51.423028739789444], [5.470265633530361, 51.42310036351161], [5.470279567488718, 51.42309371991596], [5.470322978177938, 51.42307300595436], [5.470348090238374, 51.423093796822734], [5.470337935980394, 51.42309958380152], [5.470416754985436, 51.423163796570776], [5.470465811081226, 51.42314039090244], [5.470512812936334, 51.42311795746205]]]}";51.4230695625,5.47035359512
68;Rijksmonument;Riel 13;Boerderij;;;1882;;3-8-1977;RM0016;https://beeldmateriaal.eindhoven.nl/monumenten/RM0016.pdf;139.944339;50.619322626954094;"{""type"": ""Polygon"", ""coordinates"": [[[5.521794238175088, 51.42339856510157], [5.5217551997755745, 51.42343630880527], [5.521660363330476, 51.42352801315514], [5.521698523668238, 51.423543438622296], [5.521758880677956, 51.42356783610946], [5.521892769736682, 51.423438387926524], [5.521794238175088, 51.42339856510157]]]}";51.4234831992,5.52177656376
