Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
2580;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472421374305954, 51.44263451670256]}";51.4426345167,5.47242137431
2581;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472428385182524, 51.44261467357736]}";51.4426146736,5.47242838518
2583;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.4724424254149735, 51.44257718953605]}";51.4425771895,5.47244242541
2586;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.472468749004184, 51.44250883839535]}";51.4425088384,5.472468749
2588;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47312377655004, 51.4428996064636]}";51.4428996065,5.47312377655
2589;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473132568663799, 51.44287866536402]}";51.4428786654,5.47313256866
1818;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478883923434882, 51.44701677702372]}";51.447016777,5.47888392343
1821;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478851504245377, 51.44746290107287]}";51.4474629011,5.47885150425
1824;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.47886547486161, 51.44730675694063]}";51.4473067569,5.47886547486
2058;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484575273947377, 51.44428414044496]}";51.4442841404,5.48457527395
2059;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.484601735031984, 51.4442882441102]}";51.4442882441,5.48460173503
2060;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.485345096915576, 51.44496669577496]}";51.4449666958,5.48534509692
2061;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.485380890646514, 51.44496929927707]}";51.4449692993,5.48538089065
2319;Stationsweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.483942246037, 51.44261612850726]}";51.4426161285,5.48394224604
2320;Stationsweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.483950004611015, 51.44259175377753]}";51.4425917538,5.48395000461
2324;Stationsweg;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.483986198429816, 51.442499113434216]}";51.4424991134,5.48398619843
2334;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482691433278851, 51.442435203482376]}";51.4424352035,5.48269143328
2335;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482699195896423, 51.44241245578134]}";51.4424124558,5.4826991959
2337;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482717299132764, 51.442368576223146]}";51.4423685762,5.48271729913
2340;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482743157323459, 51.442305193873885]}";51.4423051939,5.48274315732
2342;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482756091879657, 51.4422726892179]}";51.4422726892,5.48275609188
2343;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482763843462006, 51.44225156847058]}";51.4422515685,5.48276384346
2344;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.482766419631706, 51.44223856873968]}";51.4422385687,5.48276641963
2347;Stationsweg;Parkeerplaats Vergunning;1.0;"{""type"": ""Point"", ""coordinates"": [5.483053229488245, 51.442644477007434]}";51.442644477,5.48305322949
2590;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473141350516967, 51.44285991750642]}";51.4428599175,5.47314135052
2591;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473148367345447, 51.44284338216398]}";51.4428433822,5.47314836735
2594;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473286090118461, 51.44292703679788]}";51.4429270368,5.47328609012
2597;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473310651789548, 51.4428631002082]}";51.4428631002,5.47331065179
2601;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473204540602477, 51.442701166901124]}";51.4427011669,5.4732045406
2604;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473227351627373, 51.44263943384539]}";51.4426394338,5.47322735163
2605;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473236129242865, 51.44261848375974]}";51.4426184838,5.47323612924
2606;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473243143914939, 51.44260084280667]}";51.4426008428,5.47324314391
2609;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473382643641213, 51.442688909450645]}";51.4426889095,5.47338264364
2615;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473593042217685, 51.44297530323772]}";51.4429753032,5.47359304222
2617;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473607079525958, 51.44293672244185]}";51.4429367224,5.47360707953
2619;Eindje;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.473621116810526, 51.44289814164425]}";51.4428981416,5.47362111681
1830;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478979556603119, 51.447232312815636]}";51.4472323128,5.4789795566
1831;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478981846354285, 51.44719067550772]}";51.4471906755,5.47898184635
1832;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478981756615257, 51.44714607381568]}";51.4471460738,5.47898175662
1834;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478991114881928, 51.447064278561655]}";51.4470642786,5.47899111488
1835;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.4789933986272255, 51.447019666009176]}";51.447019666,5.47899339863
1840;Bisschopsmolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.479009571549148, 51.44677876598086]}";51.446778766,5.47900957155
1843;Keersoppermolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478418660209571, 51.44786724559813]}";51.4478672456,5.47841866021
1844;Keersoppermolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.478452367986649, 51.44786167317623]}";51.4478616732,5.47845236799
1846;Keersoppermolen;Parkeerplaats;1.0;"{""type"": ""Point"", ""coordinates"": [5.4785268588284834, 51.44784942613612]}";51.4478494261,5.47852685883
