Adres;X_coordina;Y_coordina;Locatie;Parkeerreg;Lat;Lon;Locatie1
Scheldestraat;157646.7568;387556.3006;Active locatie;vrij parkeren;51.4770518728;5.42529789503;51.4770518728,5.42529789503
Waterlinie 491;155819.1328;383283.5166;Active locatie;vrij parkeren;51.4386509536;5.39898051592;51.4386509536,5.39898051592
Bouvigne;158461.849;381569.3562;Vergunning;vrij parkeren;51.4232328145;5.43697191254;51.4232328145,5.43697191254
Gaasterlandlaan 33;160157.7842;387507.5216;Active locatie;vrij parkeren;51.4765959453;5.46144188901;51.4765959453,5.46144188901
Waalstraat 122;157558.8637;387652.3977;Active locatie;vrij parkeren;51.477916065;5.4240334284;51.477916065,5.4240334284
Grassnip 2;156618.0454;383484.5203;Active locatie;vrij parkeren;51.4404559583;5.41047158678;51.4404559583,5.41047158678
Edisonstraat 35;159792.3283;384997.5293;Active locatie;vrij parkeren;51.4540377493;5.45614729229;51.4540377493,5.45614729229
Graslelie 22;157133.0913;383435.3402;Active locatie;vrij parkeren;51.4400121656;5.41787910001;51.4400121656,5.41787910001
Allersma;158819.2036;380497.3669;Active locatie;vrij parkeren;51.4135947264;5.44209813946;51.4135947264,5.44209813946
Ardechelaan;158729.9365;388874.6692;Active locatie;vrij parkeren;51.4888960491;5.44090359092;51.4888960491,5.44090359092
Hoogstraat;160360.502;382095.9323;Active locatie;vrij parkeren;51.4279511481;5.46427761163;51.4279511481,5.46427761163
Kaartmakersring;164087.101;384089.024;Active locatie;vrij parkeren;51.4458185443;5.51791330154;51.4458185443,5.51791330154
Rietvinkstraat;163075.543;383716.581;Active locatie;vrij parkeren;51.4424862052;5.50335398926;51.4424862052,5.50335398926
Zeelsterstraat;158174.55;383221.524;Active locatie;vrij parkeren;51.4380853114;5.43285614939;51.4380853114,5.43285614939
Graslinnen;157139.741;382907.107;Active locatie;vrij parkeren;51.4352640247;5.41797154167;51.4352640247,5.41797154167
Graslelie;157171.8024;383445.2556;Active locatie;vrij parkeren;51.440101143;5.41843593036;51.440101143,5.41843593036
Noordzeelaan;160496.023;387685.242;Active locatie;vrij parkeren;51.4781902024;5.46631336348;51.4781902024,5.46631336348
Welschapsedijk;157996.954;383484.275;Active locatie;vrij parkeren;51.4404480703;5.43030417924;51.4404480703,5.43030417924
Botenlaan;159376.83;383338.596;Active locatie;vrij parkeren;51.4391295525;5.45014889682;51.4391295525,5.45014889682
Winkelcentrum Woensel;161075.055;386908.675;Active locatie;vrij parkeren;51.4712039609;5.47463499377;51.4712039609,5.47463499377
Sint Odastraat;162453.7937;382469.3995;Active locatie;vrij parkeren;51.4312842973;5.49438471912;51.4312842973,5.49438471912
Donizettilaan;159779.5625;381998.6655;Active locatie;vrij parkeren;51.4270820825;5.45592302395;51.4270820825,5.45592302395
Jacob van Maerlantlaan 5;161133.354;382268.754;Active locatie;betaald parkeren;51.4294966943;5.47539337424;51.4294966943,5.47539337424
Tongelresestraat 338A;163324.146;383613.615;Active locatie;vrij parkeren;51.4415570591;5.50692733445;51.4415570591,5.50692733445
Floraplein 6;162686.921;380847.827;Active locatie;vrij parkeren;51.41670539;5.49770174107;51.41670539,5.49770174107
Charles Dickenslaan 17;161314.439;388605.046;Active locatie;vrij parkeren;51.4864493835;5.47811078933;51.4864493835,5.47811078933
Wegedoornlaan 2B;163064.579;380861.497;Active locatie;vrij parkeren;51.416822985;5.50313101216;51.416822985,5.50313101216
Willem de Rijkelaan 2B;160241.361;382952.209;Active locatie;vrij parkeren;51.4356490574;5.46257720985;51.4356490574,5.46257720985
Muzenlaan 47;162039.563;385885.523;Active locatie;vrij parkeren;51.4619959685;5.4884962882;51.4619959685,5.4884962882
Vlokhovenseweg 33;161762.545;387135.619;Active locatie;vrij parkeren;51.4732360295;5.48453409479;51.4732360295,5.48453409479
Hemelrijken;160951.495;384072.084;Voorkeurslocatie;vrij parkeren;51.445708168;5.47280876572;51.445708168,5.47280876572
Clara Wichmannstraat;160681.5797;383782.6161;Voorkeurslocatie;vrij parkeren;51.4431090316;5.46892150743;51.4431090316,5.46892150743
Fregatstraat;159861.716;383349.421;Active locatie;vrij parkeren;51.4392228723;5.45712288079;51.4392228723,5.45712288079
Spijndhof;161062.3821;383110.5862;Active locatie;vergunningsplichtig parkeren;51.4370644097;5.47438730346;51.4370644097,5.47438730346
St. Lambertusstraat;160831.537;382687.012;Active locatie;betaald parkeren;51.4332594838;5.47106034293;51.4332594838,5.47106034293
Augustijnendreef;161839.9278;383352.8988;Voorkeurslocatie;vergunningsplichtig parkeren;51.4392335625;5.48557448562;51.4392335625,5.48557448562
